@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
70,'2019/02/12 15:54:20:883',1,181,162,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
71,'2019/02/12 15:54:20:967',1,202,216,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
72,'2019/02/12 15:54:21:050',1,207,224,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
73,'2019/02/12 15:54:28:202',1,66,314,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
74,'2019/02/12 15:54:28:721',1,34,388,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
75,'2019/02/12 15:54:28:786',1,60,390,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
76,'2019/02/12 15:54:28:868',1,82,394,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
77,'2019/02/12 15:54:28:953',1,114,394,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
78,'2019/02/12 15:54:29:037',1,144,395,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
79,'2019/02/12 15:54:29:134',1,152,404,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
80,'2019/02/12 15:54:29:204',1,153,412,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
